entrez	cytoband	symbol
100128115	18q23	RPL26P35
100128117	2q14.2	RPL17P15
100128118	4q34.3	CCNHP1
100128119	8q21.13	SLC25A51P3
100128121	5q31.3	LOC100128121
100128122	Xq24	LOC100128122
100128124	6q27	HGC6.3
100128126	8q21.11	STAU2-AS1
100128127	10q26.3	ADGRA1-AS1
100128132	8q23.1	TMCC1P1
100128135	11p15.4	GVINP2
100128136	9p13.3	NDUFA5P4
100128139	19p12	LINC01233
100128140	17p13.3	RPS4XP17
100128144	19p13.3	LOC100128144
100128145	13q34	CLCP2
100128154	5q11.2	MFSD4BP1
100128159	6q16.1	ATF1P1
100128162	6q14.1	RPS6P7
100128164	3q26.2	LOC100128164
100128168	10q26.13	RPS26P39
100128171	Xq12	LOC100128171
100128174	8p23.1	DEFB131C
100128176	6q25.1	UST-AS1
100128177	4q26	NDUFS5P5
100128179	3q13.11	RAP1BP2
100128181	1q24.1	FMO10P
100128183	4q24	PABPC1P7
100128190	Yq11.21	SLC9B1P1
100128191	12q23.1	TMPO-AS1
100128203	2q35	ENSAP3
100128210	11q12.1	LOC100128210
100128217	7p21.2	GTF3AP5
100128218	5p13.2	PSMC6P3
100128220	14q11.2	EDDM3DP
100128227	6p12.1	HMGB1P20
100128233	14q23.3	LINC02324
100128237	9q22.33	YRDCP2
100128238	18p11.22	LOC100128238
100128239	11q25	LOC100128239
100128240	6p22.1	CD83P1
100128242	11q24.1	LOC100128242
100128248	12q12	LOC100128248
100128250	15q26.2	RPL31P55
100128252	19q13.43	ZNF667-AS1
100128253	12p13.32	LOC100128253
100128254	19q13.42	FAM90A28P
100128258	1q42.13	RPS18P3
100128260	Xq28	WASIR1
100128262	3q29	TNK2-AS1
100128264	7q36.2	HTR5A-AS1
100128266	4q34.1	RANP6
100128268	Xq25	LOC100128268
100128275	9p13.3	SYF2P2
100128276	12q24.33	LOC100128276
100128277	9p24.1	RPL35AP20
100128284	17p13.2	LOC100128284
100128285	15q24.2	DNM1P35
100128288	17p13.1	LOC100128288
100128292	10q22.3	DLG5-AS1
100128293	6q12	LOC100128293
100128297	4q21.1	LOC100128297
100128299	9q34.3	SOCS5P2
100128302	10q23.32	SDHCP2
100128305	1q24.1	RPS13P1
100128307	7q31.1	PIGCP2
100128310	20q13.33	LOC100128310
100128312	6q13	SLC25A6P6
100128317	7q21.11	LOC100128317
100128318	4q21.1	RPL26P17
100128324	18q11.1	EXOGP1
100128325	7q32.2	LOC100128325
100128327	6q22.1	TRAPPC3L
100128334	7q22.1	LOC100128334
100128335	12q21.31	LOC100128335
100128337	13q12.12	IPO7P2
100128338	8q24.3	FAM83H-AS1
100128339	13q31.1	BCAS2P3
100128340	5q35.3	LOC100128340
100128341	21q11.2	RBMX2P1
100128345	Xp21.1	LOC100128345
100128347	11q23.3	RPL15P15
100128351	4p12	RPL21P52
100128355	Xp22.33	LOC100128355
100128358	14q12	RPS6P24
100128360	18p11.32	LOC100128360
100128361	9q22.31	LOC100128361
100128362	1p34.2	LOC100128362
100128365	6p22.3	LOC100128365
100128368	3p25.1	VN1R21P
100128372	6p25.2	HMGN2P28
100128373	14q32.31	LOC100128373
100128377	1p31.3	RPS29P7
100128378	3p21.2	LINC00696
100128379	6p21.2	LOC100128379
100128384	16p11.2	VN1R65P
100128385	9q32	FAM225B
100128386	11q22.1	LOC100128386
100128390	17q24.3	CALM2P1
100128393	22q13.31	RPL35AP36
100128397	15q26.1	NIFKP5
100128398	19q13.43	LOC100128398
100128407	5q23.1	LOC100128407
100128408	2q12.2	RPL22P10
100128410	Xq25	NPM1P34
100128412	8q21.3	VTA1P2
100128413	2q14.1	XIAPP3
100128416	Xq26.3	RAB28P5
100128420	Xq26.3	LINC00892
100128423	11p15.4	RPS24P14
100128427	11p11.12	UBTFL9
100128428	19p13.2	LOC100128428
100128431	15q23	GEMIN8P1
100128441	8p12	LOC100128441
100128442	Xp11.3	LOC100128442
100128448	3p13	UQCRHP4
100128449	9q34.3	IL9RP1
100128450	6q13	RPS6P8
100128454	Xp11.22	LOC100128454
100128456	Xq21.33	CCNB1IP1P3
100128459	7p11.2	CCNJP1
100128462	4q26	RPF2P2
100128464	7q21.13	LOC100128464
100128465	10q23.31	IFIT6P
100128467	Xq12	LOC100128467
100128469	3q25.1	SNRPCP3
100128483	2q34	TPT1P2
100128493	10p12.31	UBE2V2P1
100128494	11q13.4	LOC100128494
100128496	20p11.23	C20orf78
100128497	16q23.1	LOC100128497
100128503	1p36.11	DPPA2P2
100128505	9q33.1	ASTN2-AS1
100128511	10p12.31	NEBL-AS1
100128512	10p11.1	FXYD6P2
100128514	14q11.2	ARHGAP42P5
100128516	11q24.1	ATP5F1P5
100128519	4p16.1	RPS24P11
100128521	Xp22.2	TPT1P14
100128523	16q12.2	LOC100128523
100128525	22q13.1	UQCRFS1P1
100128531	22q11.23	LOC100128531
100128535	22q12.2	RPS18P14
100128536	Xq23	SETP8
100128537	1q32.2	C1orf132
100128540	8q12.3	LOC100128540
100128541	8q11.1	ATP6V1G1P2
100128542	7q36.1	BET1P1
100128546	Xq24	LOC100128546
100128548	8q22.1	LOC100128548
100128553	7q35	CTAGE4
100128554	12q24.32	LINC02347
100128560	17p13.1	MYHAS
100128568	19p13.3	LOC100128568
100128569	19p13.3	C19orf71
100128573	19p13.2	LOC100128573
100128574	Xq22.1	ARMCX3-AS1
100128579	2p23.3	CDKN2AIPNLP2
100128588	6q21	LOC100128588
100128589	3q22.3	GAPDHP39
100128590	2p22.1	SLC8A1-AS1
100128592	6q13	LOC100128592
100128593	9q34.3	LOC100128593
100128594	Xq22.2	LOC100128594
100128595	Xq21.33	HNRNPDLP1
100128596	7q32.3	NDUFB9P2
100128601	Xq22.1	LOC100128601
100128603	5q11.2	C1GALT1P2
100128605	2p13.2	RPS15AP13
100128610	6q12	LOC100128610
100128617	12q24.21	UBA52P7
100128618	12q24.13	SLC25A3P2
100128621	2q31.1	CYB5AP2
100128622	5q35.3	LOC100128622
100128625	13q21.33	SRSF1P1
100128626	13q21.31	PPP1R2P10
100128627	8q24.3	CDC42P3
100128628	13q14.11	RGS17P1
100128637	7p21.2	EEF1A1P26
100128639	1p34.1	HMGB1P48
100128640	3p22.2	ACVR2B-AS1
100128646	4p15.32	RPL10AP7
100128653	7p22.3	LOC100128653
100128655	6p21.2	LOC100128655
100128657	9q31.2	CHCHD4P2
100128662	1p36.23	RPL27P3
100128664	14q11.2	RPL22P20
100128665	9q31.1	FYTTD1P1
100128673	12q21.1	LOC100128673
100128674	12q21.1	LOC100128674
100128675	19q13.11-q13.12	HPN-AS1
100128676	12q13.3	LOC100128676
100128678	12q13.13	BTBD10P1
100128681	12q21.1	CCNG2P1
100128682	19q13.12	LINC01531
100128685	8q23.1	SLC16A14P1
100128686	8q11.21	LOC100128686
100128688	Xq28	GPR50-AS1
100128690	Xq27.3	ELL2P4
100128696	2p11.1	PABPC1P6
100128701	9p24.1	HNRNPA1P41
100128705	9p24.1	AK4P4
100128707	15q24.2	NIFKP4
100128710	17q11.2	RPL9P30
100128711	15q21.3	NDUFB10P1
100128712	17q23.2	PRELID3BP3
100128713	17q22	LOC100128713
100128714	15q12	LINC02346
100128721	15q24.2	LOC100128721
100128723	1q32.1	CBX1P3
100128725	4q13.2	APOOP4
100128731	2p23.3	OST4
100128733	3q13.12	FCF1P3
100128738	Xq13.2	LOC100128738
100128739	3q24	LOC100128739
100128745	6q23.3	RPLP1P8
100128750	8p12	RBPMS-AS1
100128756	10q23.1	RPS7P9
100128759	2q24.1	LOC100128759
100128762	5q35.3	LOC100128762
100128764	13q12.13	THAP12P6
100128766	21q22.11	RPL8P2
100128770	16p13.3	LOC100128770
100128771	9q22.32	EIF4BP3
100128772	3p25.1	LOC100128772
100128775	1p31.1	LOC100128775
100128776	18p11.21	LOC100128776
100128777	16q12.1	KLF8P1
100128781	14q31.3	FAM35CP
100128782	9q22.32	LINC00476
100128787	1p21.2	LINC01349
100128788	16p13.3	SRRM2-AS1
100128790	9q21.2	LYPLA2P3
100128800	11q14.3	LOC100128800
100128801	Xp22.31	DRAXINP1
100128803	5p15.33	LOC100128803
100128804	16p11.2	AGGF1P8
100128807	Xp22.2	RPL35AP37
100128808	Xp22.31	LOC100128808
100128811	10p12.1	GPR158-AS1
100128817	12q12	AK6P2
100128818	22q13.31	LPEQ6126
100128822	7q36.1	LINC01003
100128827	3q29	FRG2FP
100128830	10q26.3	LINC01165
100128833	5q33.2	LOC100128833
100128834	1q44	CLK3P2
100128836	8q21.13	HNRNPA1P36
100128845	19p12	CDC42EP3P1
100128849	19p12	BNIP3P34
100128853	19p12	ZNF725P
100128857	2p13.3	B3GALNT1P1
100128863	10q24.33	RPS15AP29
100128865	4q12	LOC100128865
100128867	7p11.2	RBM22P3
100128880	10q26.11	RAD1P1
100128881	16q24.3	VPS9D1-AS1
100128882	16q24.2	LOC100128882
100128885	7q11.21	LOC100128885
100128888	4q31.21	RPSAP36
100128889	1q25.1	NDUFAF4P4
100128890	8p23.1	FAM66B
100128893	18q11.2	GATA6-AS1
100128894	Yp11.2	NAP1L1P2
100128898	5q33.3	LOC100128898
100128899	2q35	RPL7L1P9
100128902	13q13.3	PRDX3P3
100128903	13q12.2	NPM1P4
100128905	2q31.1	LINC01960
100128906	9q31.1	LOC100128906
100128908	14q11.2	LMLN2
100128911	9q22.1	PCNPP2
100128912	4p15.32	RPS21P4
100128923	11q23.1	RPS6P16
100128926	18p11.32	LOC100128926
100128927	14q32.33	ZBTB42
100128929	Xp21.3	LOC100128929
100128930	10p15.1	SDCBPP1
100128934	10q11.21	FXYD6P1
100128936	3p14.2	RPL10AP6
100128939	14q32.12	LOC100128939
100128944	12q13.3	YWHAQP3
100128946	22q13.32	LINC01310
100128948	19q13.13	LOC100128948
100128958	1q43	LOC100128958
100128961	8q22.3	GAPDHP62
100128963	8q21.13	RPL3P9
100128964	2q12.3	LOC100128964
100128966	5q31.2	LOC100128966
100128974	15q14	RBM17P4
100128977	17q21.31	MAPT-AS1
100128982	5q11.2	KATNBL1P4
100128983	4q28.2	LOC100128983
100128984	1q23.3	RPL35AP7
100128985	6q16.3	NPM1P38
100128988	20q12	LOC100128988
100128990	10q23.31	MED6P1
100128991	18q21.2	RSL24D1P9
100128993	8p22-p21.3	LOC100128993
100128998	20q13.33	C20orf181
100129001	Xq21.33	LOC100129001
100129004	8p11.22	RPL3P10
100129005	3p11.2	APOOP2
100129007	1q24.1	FMO8P
100129008	4q26	CUL4AP1
100129009	7q22.3	DCAF13P1
100129011	18q21.33	LSM6P1
100129013	Xq13.1	ACTR3P2
100129017	1q31.3	RPL24P5
100129023	13q31.1	ARF4P4
100129027	21q22.3	LOC100129027
100129028	2q31.1	RPLP1P4
100129029	2q24.1	PKP4-AS1
100129031	3p14.2	UBL5P3
100129032	11q12.1	GLYATL1P1
100129034	9q33.3	LOC100129034
100129037	4p16.3	LOC100129037
100129040	5p13.1	CCDC11P1
100129045	3p24.2	EIF3KP2
100129046	1p22.1	LOC100129046
100129049	Xp21.2	PIGFP3
100129050	7p12.3	CICP20
100129052	6p25.2	LOC100129052
100129053	11q21	KDM4F
100129055	10p11.1	LOC100129055
100129060	3p21.31	SEMA3F-AS1
100129061	6p21.31	RPL7P25
100129066	9q22.2	UNQ6494
100129067	11q12.3	NPM1P35
100129074	6p24.2	THAP12P5
100129075	14q22.3	KTN1-AS1
100129078	12q12	LOC100129078
100129080	19q13.2	TDGF1P7
100129083	19q13.41	LOC100129083
100129085	19q13.12	SELENOKP1
100129086	12q13.13	HIGD1AP1
100129090	1q32.3	RPS5P4
100129094	1q42.13	BTNL10
100129096	8q13.2	LOC100129096
100129098	8q11.23	LOC100129098
100129099	5q22.1	LOC100129099
100129100	8q21.3	LOC100129100
100129102	1q32.1	RPL22P4
100129107	9p24.1	TCF3P1
100129108	11p11.12	LOC100129108
100129118	19p13.12	LOC100129118
100129123	17q23.3	ACE3P
100129124	15q12	TVP23BP1
100129128	6q13	KHDC1L
100129129	8p23.1	LOC100129129
100129130	7q11.23	LOC100129130
100129133	Xq21.31	LOC100129133
100129135	18q22.1	LOC100129135
100129137	4q22.1	LOC100129137
100129138	1p21.1	LOC100129138
100129140	2p14	LOC100129140
100129141	2p15	RPL21P37
100129143	18q21.1	SMUG1P1
100129144	Xq12	LOC100129144
100129148	7q34	LOC100129148
100129155	6q21	LOC100129155
100129156	10q22.3	RBBP6P1
100129160	1q23.3	NMNAT1P2
100129162	2p15	RSL24D1P2
100129167	13q12.12	RFESDP1
100129168	21q22.11	LOC100129168
100129174	13q14.2	POLR2KP2
100129175	2q35	LOC100129175
100129176	14q32.32	RPL13P6
100129179	14q23.1	RPL9P5
100129180	1p22.1	RPL36AP11
100129184	16p11.2	LOC100129184
100129192	6p22.1	MICC
100129193	9q32	MUPP
100129195	6p22.1	ZSCAN16-AS1
100129196	1p35.2	MATN1-AS1
100129199	11q13.2	RPS3AP40
100129201	11q23.3	PRR13P3
100129202	9q22.1	LOC100129202
100129203	11q21	LOC100129203
100129205	1p31.3	LOC100129205
100129213	10p12.33	SLC39A12-AS1
100129215	16q24.2	LOC100129215
100129216	11q13.4	DEFB131B
100129223	12p13.32	THCAT155
