#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PTEN	USP7	4443848	4441344	9606.ENSP00000361021	9606.ENSP00000343535	0	0	0	0	0.088	0.472	0.900	0.724	0.984
PTEN	PDGFRB	4443848	4434952	9606.ENSP00000361021	9606.ENSP00000261799	0	0	0	0	0	0.539	0.900	0.670	0.983
PIK3R1	PIK3R2	4449428	4433214	9606.ENSP00000428056	9606.ENSP00000222254	0	0	0	0.960	0	0.834	0.900	0.870	0.983
PTEN	PIK3CB	4443848	4436798	9606.ENSP00000361021	9606.ENSP00000289153	0	0	0	0	0.065	0.186	0.900	0.800	0.982
PTEN	PIK3R2	4443848	4433214	9606.ENSP00000361021	9606.ENSP00000222254	0	0	0	0	0.063	0.472	0.900	0.678	0.981
SLC9A3R1	PDGFRB	4435111	4434952	9606.ENSP00000262613	9606.ENSP00000261799	0	0	0	0	0	0.694	0.900	0.314	0.977
PIK3CA	PDGFRB	4435346	4434952	9606.ENSP00000263967	9606.ENSP00000261799	0	0	0	0	0	0.404	0.900	0.533	0.969
AKT1	PIK3R2	4450372	4433214	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.085	0.085	0.900	0.665	0.968
PIK3R1	PDGFRB	4449428	4434952	9606.ENSP00000428056	9606.ENSP00000261799	0	0	0	0	0	0.472	0.900	0.425	0.967
PDGFRB	PIK3R2	4434952	4433214	9606.ENSP00000261799	9606.ENSP00000222254	0	0	0	0	0.061	0.415	0.900	0.265	0.954
PTK2	PIK3CA	4441125	4435346	9606.ENSP00000341189	9606.ENSP00000263967	0	0	0	0	0.077	0.381	0.900	0.295	0.954
PIK3R1	PTK2	4449428	4441125	9606.ENSP00000428056	9606.ENSP00000341189	0	0	0	0	0	0.379	0.900	0.209	0.946
AKT1	PDGFRB	4450372	4434952	9606.ENSP00000451828	9606.ENSP00000261799	0	0	0	0.554	0.060	0.096	0.900	0.837	0.941
PIK3CB	PDGFRB	4436798	4434952	9606.ENSP00000289153	9606.ENSP00000261799	0	0	0	0	0	0.080	0.900	0.267	0.926
PTK2	TP53	4441125	4435880	9606.ENSP00000341189	9606.ENSP00000269305	0	0	0	0	0	0.695	0	0.747	0.920
PIK3CB	PIK3CA	4436798	4435346	9606.ENSP00000289153	9606.ENSP00000263967	0	0	0	0.886	0.062	0	0.900	0.809	0.911
TP53	PIK3CA	4435880	4435346	9606.ENSP00000269305	9606.ENSP00000263967	0	0	0	0	0	0.060	0	0.904	0.907
PTK2	PDGFRB	4441125	4434952	9606.ENSP00000341189	9606.ENSP00000261799	0	0	0	0.566	0	0.412	0.800	0.498	0.902
PTK2	PIK3R2	4441125	4433214	9606.ENSP00000341189	9606.ENSP00000222254	0	0	0	0	0	0.348	0.800	0.163	0.881
PTK2	PIK3CB	4441125	4436798	9606.ENSP00000341189	9606.ENSP00000289153	0	0	0	0	0.077	0.182	0.800	0.123	0.849
AKT1	SLC9A3R1	4450372	4435111	9606.ENSP00000451828	9606.ENSP00000262613	0	0	0	0	0.062	0.472	0	0.670	0.822
TP53	PDGFRB	4435880	4434952	9606.ENSP00000269305	9606.ENSP00000261799	0	0	0	0	0	0	0	0.775	0.775
AKT1	PTK2	4450372	4441125	9606.ENSP00000451828	9606.ENSP00000341189	0	0	0	0.568	0.082	0.399	0	0.816	0.626
PIK3R1	TP53	4449428	4435880	9606.ENSP00000428056	9606.ENSP00000269305	0	0	0	0	0	0	0	0.575	0.575
