#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HRAS	HGF	4448459	4433227	9606.ENSP00000407586	9606.ENSP00000222390	0	0	0	0	0	0.050	0.900	0.694	0.968
GRB2	STAT3	4446042	4435468	9606.ENSP00000376345	9606.ENSP00000264657	0	0	0	0	0.096	0	0.900	0.588	0.959
CTNNB1	HGF	4441426	4433227	9606.ENSP00000344456	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.510	0.948
CBL	HGF	4435363	4433227	9606.ENSP00000264033	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.320	0.929
INPPL1	HGF	4437468	4433227	9606.ENSP00000298229	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.175	0.914
SH3KBP1	HGF	4446733	4433227	9606.ENSP00000380921	9606.ENSP00000222390	0	0	0	0	0.063	0	0.900	0.123	0.910
STAT3	CDH1	4435468	4434944	9606.ENSP00000264657	9606.ENSP00000261769	0	0	0	0	0	0	0	0.831	0.831
HRAS	STAT3	4448459	4435468	9606.ENSP00000407586	9606.ENSP00000264657	0	0	0	0	0	0.069	0	0.798	0.804
CDH1	KRAS	4434944	4434456	9606.ENSP00000261769	9606.ENSP00000256078	0	0	0	0	0	0.053	0	0.761	0.764
HRAS	CTNNB1	4448459	4441426	9606.ENSP00000407586	9606.ENSP00000344456	0	0	0	0	0.062	0.085	0	0.744	0.761
CTNNB1	STAT3	4441426	4435468	9606.ENSP00000344456	9606.ENSP00000264657	0	0	0	0	0	0	0	0.759	0.760
HRAS	CDH1	4448459	4434944	9606.ENSP00000407586	9606.ENSP00000261769	0	0	0	0	0	0.129	0	0.733	0.758
CTNNB1	KRAS	4441426	4434456	9606.ENSP00000344456	9606.ENSP00000256078	0	0	0	0	0.062	0.085	0	0.739	0.756
STAT3	KRAS	4435468	4434456	9606.ENSP00000264657	9606.ENSP00000256078	0	0	0	0	0	0.069	0	0.697	0.705
HRAS	CBL	4448459	4435363	9606.ENSP00000407586	9606.ENSP00000264033	0	0	0	0	0	0.469	0	0.417	0.677
INPPL1	CBL	4437468	4435363	9606.ENSP00000298229	9606.ENSP00000264033	0	0	0	0	0.062	0.432	0	0.421	0.665
STAT3	CBL	4435468	4435363	9606.ENSP00000264657	9606.ENSP00000264033	0	0	0	0	0.055	0.513	0	0.330	0.664
CTNNB1	CBL	4441426	4435363	9606.ENSP00000344456	9606.ENSP00000264033	0	0	0	0	0.063	0.379	0.360	0.090	0.615
GRB2	INPPL1	4446042	4437468	9606.ENSP00000376345	9606.ENSP00000298229	0	0	0	0.631	0.108	0.402	0	0.511	0.545
CBL	CDH1	4435363	4434944	9606.ENSP00000264033	9606.ENSP00000261769	0	0	0	0	0	0.101	0.360	0.225	0.515
SH3KBP1	GRB2	4446733	4446042	9606.ENSP00000380921	9606.ENSP00000376345	0	0	0	0.678	0	0.393	0	0.537	0.494
HRAS	SH3KBP1	4448459	4446733	9606.ENSP00000407586	9606.ENSP00000380921	0	0	0	0	0	0.407	0	0.107	0.448
CBL	KRAS	4435363	4434456	9606.ENSP00000264033	9606.ENSP00000256078	0	0	0	0	0	0.180	0	0.339	0.435
GRB2	CDH1	4446042	4434944	9606.ENSP00000376345	9606.ENSP00000261769	0	0	0	0	0	0	0	0.417	0.416
SH3KBP1	INPPL1	4446733	4437468	9606.ENSP00000380921	9606.ENSP00000298229	0	0	0	0	0.053	0.196	0	0.278	0.402
