entrez	cytoband	symbol	arm
100128059	5q35.1	LOC100128059	5q
100128060	13q12.11	RPS7P10	13q
100128061	2q24.1	HNRNPDLP2	2q
100128062	5q34	SLC2A3P1	5q
100128071	1p35.1	FAM229A	1p
100128072	7p13	RPL36AP27	7p
100128076	9q22.31	LOC100128076	9q
100128078	20p11.21	LOC100128078	20p
100128079	16p11.2	LOC100128079	16p
100128081	7p15.1	JAZF1-AS1	7p
100128083	Xp21.1	RPS15AP40	Xp
100128086	9q31.2	LOC100128086	9q
100128091	1p34.2	LOC100128091	1p
100128092	1p35.3	PRDX3P2	1p
100128093	1p34.3	LOC100128093	1p
100128094	1p22.1	LPCAT2BP	1p
100128098	10p12.33	ST8SIA6-AS1	10p
100128102	11q21	PHBP16	11q
100128103	16p11.1	AGGF1P5	16p
100128108	15q26.3	LOC100128108	15q
100128109	12p12.3	MEF2BNBP1	12p
100128110	19q13.11	CHCHD2P3	19q
100128115	18q23	RPL26P35	18q
100128117	2q14.2	RPL17P15	2q
100128118	4q34.3	CCNHP1	4q
100128119	8q21.13	SLC25A51P3	8q
100128121	5q31.3	LOC100128121	5q
100128122	Xq24	LOC100128122	Xq
100128124	6q27	HGC6.3	6q
100128126	8q21.11	STAU2-AS1	8q
100128127	10q26.3	ADGRA1-AS1	10q
100128132	8q23.1	TMCC1P1	8q
100128135	11p15.4	GVINP2	11p
100128136	9p13.3	NDUFA5P4	9p
100128139	19p12	LINC01233	19p
100128140	17p13.3	RPS4XP17	17p
100128144	19p13.3	LOC100128144	19p
100128145	13q34	CLCP2	13q
100128154	5q11.2	MFSD4BP1	5q
100128159	6q16.1	ATF1P1	6q
100128162	6q14.1	RPS6P7	6q
100128164	3q26.2	LOC100128164	3q
100128168	10q26.13	RPS26P39	10q
100128171	Xq12	LOC100128171	Xq
100128174	8p23.1	DEFB131C	8p
100128176	6q25.1	UST-AS1	6q
100128177	4q26	NDUFS5P5	4q
100128179	3q13.11	RAP1BP2	3q
100128181	1q24.1	FMO10P	1q
100128183	4q24	PABPC1P7	4q
100128190	Yq11.21	SLC9B1P1	Yq
100128191	12q23.1	TMPO-AS1	12q
100128203	2q35	ENSAP3	2q
100128210	11q12.1	LOC100128210	11q
100128217	7p21.2	GTF3AP5	7p
100128218	5p13.2	PSMC6P3	5p
100128220	14q11.2	EDDM3DP	14q
100128227	6p12.1	HMGB1P20	6p
100128233	14q23.3	LINC02324	14q
100128237	9q22.33	YRDCP2	9q
100128238	18p11.22	KIAA0895LP1	18p
100128239	11q25	LOC100128239	11q
100128240	6p22.1	CD83P1	6p
100128242	11q24.1	LOC100128242	11q
100128248	12q12	LOC100128248	12q
100128250	15q26.2	RPL31P55	15q
100128252	19q13.43	ZNF667-AS1	19q
100128253	12p13.32	LOC100128253	12p
100128254	19q13.42	FAM90A28P	19q
100128258	1q42.13	RPS18P3	1q
100128260	Xq28	WASIR1	Xq
100128262	3q29	TNK2-AS1	3q
100128264	7q36.2	HTR5A-AS1	7q
100128266	4q34.1	RANP6	4q
100128268	Xq25	LOC100128268	Xq
100128275	9p13.3	SYF2P2	9p
100128276	12q24.33	LOC100128276	12q
100128277	9p24.1	RPL35AP20	9p
100128284	17p13.2	LOC100128284	17p
100128285	15q24.2	DNM1P35	15q
100128288	17p13.1	LOC100128288	17p
100128292	10q22.3	DLG5-AS1	10q
100128293	6q12	LOC100128293	6q
100128297	4q21.1	LOC100128297	4q
100128299	9q34.3	SOCS5P2	9q
100128302	10q23.32	SDHCP2	10q
100128305	1q24.1	RPS13P1	1q
100128307	7q31.1	PIGCP2	7q
100128310	20q13.33	LOC100128310	20q
100128312	6q13	SLC25A6P6	6q
100128317	7q21.11	LOC100128317	7q
100128318	4q21.1	RPL26P17	4q
100128324	18q11.1	EXOGP1	18q
100128325	7q32.2	LOC100128325	7q
100128327	6q22.1	TRAPPC3L	6q
100128334	7q22.1	LOC100128334	7q
100128335	12q21.31	LOC100128335	12q
100128337	13q12.12	IPO7P2	13q
100128338	8q24.3	FAM83H-AS1	8q
100128339	13q31.1	BCAS2P3	13q
100128340	5q35.3	LOC100128340	5q
100128341	21q11.2	RBMX2P1	21q
100128345	Xp21.1	LOC100128345	Xp
100128347	11q23.3	RPL15P15	11q
100128351	4p12	RPL21P52	4p
100128355	Xp22.33	LOC100128355	Xp
100128358	14q12	RPS6P24	14q
100128360	18p11.32	LOC100128360	18p
100128361	9q22.31	LOC100128361	9q
100128362	1p34.2	LOC100128362	1p
100128365	6p22.3	LOC100128365	6p
100128368	3p25.1	VN1R21P	3p
100128372	6p25.2	HMGN2P28	6p
100128373	14q32.31	LOC100128373	14q
100128377	1p31.3	RPS29P7	1p
100128378	3p21.2	LINC00696	3p
100128379	6p21.2	LOC100128379	6p
100128384	16p11.2	VN1R65P	16p
100128385	9q32	FAM225B	9q
100128386	11q22.1	LOC100128386	11q
100128390	17q24.3	CALM2P1	17q
100128393	22q13.31	RPL35AP36	22q
100128397	15q26.1	NIFKP5	15q
100128398	19q13.43	LOC100128398	19q
100128407	5q23.1	LOC100128407	5q
100128408	2q12.2	RPL22P10	2q
100128410	Xq25	NPM1P34	Xq
100128412	8q21.3	VTA1P2	8q
100128413	2q14.1	XIAPP3	2q
100128416	Xq26.3	RAB28P5	Xq
100128420	Xq26.3	LINC00892	Xq
100128423	11p15.4	RPS24P14	11p
100128427	11p11.12	UBTFL9	11p
100128428	19p13.2	LOC100128428	19p
100128431	15q23	GEMIN8P1	15q
100128441	8p12	LOC100128441	8p
100128442	Xp11.3	LOC100128442	Xp
100128448	3p13	UQCRHP4	3p
100128449	9q34.3	IL9RP1	9q
100128450	6q13	RPS6P8	6q
100128454	Xp11.22	LOC100128454	Xp
100128456	Xq21.33	CCNB1IP1P3	Xq
100128459	7p11.2	CCNJP1	7p
100128462	4q26	RPF2P2	4q
100128464	7q21.13	LOC100128464	7q
100128465	10q23.31	IFIT6P	10q
100128467	Xq12	LOC100128467	Xq
100128469	3q25.1	SNRPCP3	3q
100128483	2q34	TPT1P2	2q
100128493	10p12.31	UBE2V2P1	10p
100128494	11q13.4	LOC100128494	11q
100128496	20p11.23	C20orf78	20p
100128497	16q23.1	LOC100128497	16q
100128503	1p36.11	DPPA2P2	1p
100128505	9q33.1	ASTN2-AS1	9q
100128511	10p12.31	NEBL-AS1	10p
100128512	10p11.1	FXYD6P2	10p
100128514	14q11.2	ARHGAP42P5	14q
100128516	11q24.1	ATP5PBP5	11q
100128519	4p16.1	RPS24P11	4p
100128521	Xp22.2	TPT1P14	Xp
100128523	16q12.2	LOC100128523	16q
100128525	22q13.1	UQCRFS1P1	22q
100128531	22q11.23	LOC100128531	22q
100128535	22q12.2	RPS18P14	22q
100128536	Xq23	SETP8	Xq
100128537	1q32.2	MIR29B2CHG	1q
100128540	8q12.3	LOC100128540	8q
100128541	8q11.1	ATP6V1G1P2	8q
100128542	7q36.1	BET1P1	7q
100128546	Xq24	LOC100128546	Xq
100128548	8q22.1	LOC100128548	8q
100128553	7q35	CTAGE4	7q
100128554	12q24.32	LINC02347	12q
100128560	17p13.1	MYHAS	17p
100128568	19p13.3	LOC100128568	19p
100128569	19p13.3	C19orf71	19p
100128573	19p13.2	LOC100128573	19p
100128574	Xq22.1	ARMCX3-AS1	Xq
100128579	2p23.3	CDKN2AIPNLP2	2p
100128588	6q21	LOC100128588	6q
100128589	3q22.3	GAPDHP39	3q
100128590	2p22.1	SLC8A1-AS1	2p
100128592	6q13	LOC100128592	6q
100128593	9q34.3	LOC100128593	9q
100128594	Xq22.2	TMSB15B-AS1	Xq
100128595	Xq21.33	HNRNPDLP1	Xq
100128596	7q32.3	NDUFB9P2	7q
100128601	Xq22.1	LOC100128601	Xq
100128603	5q11.2	C1GALT1P2	5q
100128605	2p13.2	RPS15AP13	2p
100128610	6q12	LOC100128610	6q
100128617	12q24.21	UBA52P7	12q
100128618	12q24.13	SLC25A3P2	12q
100128621	2q31.1	CYB5AP2	2q
100128622	5q35.3	LOC100128622	5q
100128625	13q21.33	SRSF1P1	13q
100128626	13q21.31	PPP1R2P10	13q
100128627	8q24.3	CDC42P3	8q
100128628	13q14.11	RGS17P1	13q
100128637	7p21.2	EEF1A1P26	7p
100128639	1p34.1	HMGB1P48	1p
100128640	3p22.2	ACVR2B-AS1	3p
100128646	4p15.32	RPL10AP7	4p
100128653	7p22.3	LOC100128653	7p
100128655	6p21.2	LOC100128655	6p
100128657	9q31.2	CHCHD4P2	9q
100128662	1p36.23	RPL27P3	1p
100128664	14q11.2	RPL22P20	14q
100128665	9q31.1	FYTTD1P1	9q
100128673	12q21.1	LOC100128673	12q
100128674	12q21.1	LOC100128674	12q
100128675	19q13.11-q13.12	HPN-AS1	19q
100128676	12q13.3	LOC100128676	12q
100128678	12q13.13	BTBD10P1	12q
100128681	12q21.1	CCNG2P1	12q
100128682	19q13.12	LINC01531	19q
100128685	8q23.1	SLC16A14P1	8q
100128686	8q11.21	LOC100128686	8q
100128688	Xq28	GPR50-AS1	Xq
100128690	Xq27.3	ELL2P4	Xq
100128696	2p11.1	PABPC1P6	2p
100128701	9p24.1	HNRNPA1P41	9p
100128705	9p24.1	AK4P4	9p
100128707	15q24.2	NIFKP4	15q
100128710	17q11.2	RPL9P30	17q
100128711	15q21.3	NDUFB10P1	15q
100128712	17q23.2	PRELID3BP3	17q
100128713	17q22	LOC100128713	17q
100128714	15q12	LINC02346	15q
100128721	15q24.2	LOC100128721	15q
100128723	1q32.1	CBX1P3	1q
100128725	4q13.2	APOOP4	4q
100128731	2p23.3	OST4	2p
100128733	3q13.12	FCF1P3	3q
100128738	Xq13.2	LOC100128738	Xq
100128739	3q24	LOC100128739	3q
100128745	6q23.3	RPLP1P8	6q
100128750	8p12	RBPMS-AS1	8p
100128756	10q23.1	RPS7P9	10q
100128759	2q24.1	LOC100128759	2q
100128762	5q35.3	LOC100128762	5q
100128764	13q12.13	THAP12P6	13q
100128766	21q22.11	RPL8P2	21q
100128770	16p13.3	LOC100128770	16p
100128771	9q22.32	EIF4BP3	9q
100128772	3p25.1	LOC100128772	3p
100128775	1p31.1	LOC100128775	1p
100128776	18p11.21	LOC100128776	18p
100128777	16q12.1	KLF8P1	16q
100128781	14q31.3	SHLD2P2	14q
100128782	9q22.32	LINC00476	9q
100128787	1p21.2	LINC01349	1p
100128788	16p13.3	SRRM2-AS1	16p
100128790	9q21.2	LYPLA2P3	9q
100128800	11q14.3	LOC100128800	11q
100128801	Xp22.31	DRAXINP1	Xp
100128803	5p15.33	LOC100128803	5p
100128804	16p11.2	AGGF1P8	16p
100128807	Xp22.2	RPL35AP37	Xp
100128808	Xp22.31	LOC100128808	Xp
100128811	10p12.1	GPR158-AS1	10p
100128817	12q12	AK6P2	12q
100128818	22q13.31	LPEQ6126	22q
100128822	7q36.1	LINC01003	7q
100128827	3q29	FRG2FP	3q
100128830	10q26.3	LINC01165	10q
100128833	5q33.2	LOC100128833	5q
100128834	1q44	CLK3P2	1q
100128836	8q21.13	HNRNPA1P36	8q
100128845	19p12	CDC42EP3P1	19p
100128849	19p12	BNIP3P34	19p
100128853	19p12	ZNF725P	19p
100128857	2p13.3	B3GALNT1P1	2p
100128863	10q24.33	RPS15AP29	10q
100128865	4q12	LOC100128865	4q
100128867	7p11.2	RBM22P3	7p
100128880	10q26.11	RAD1P1	10q
100128881	16q24.3	VPS9D1-AS1	16q
100128882	16q24.2	LOC100128882	16q
100128885	7q11.21	LOC100128885	7q
